BHK,Type,Location,Price,Sqft,Status,Deposit,Availability,Bathrooms,Facing
1,Apartment,Moosapet,"13,000",600,Semi-Furnished,No Deposit,NA,1,East facing
4,Apartment,Moosapet,"37,200",1650,Semi-Furnished,No Deposit,NA,1,NA
1,Apartment,Moosapet,"12,000",900,Unfurnished,No Deposit,NA,1,NA
2,Independent House,Moosapet,"12,000",1200,Unfurnished,No Deposit,NA,2,NA
1,Independent House,Moosapet,"7,000",600,Unfurnished,No Deposit,NA,1,NA
2,Independent House,Moosapet,"12,000",1200,Unfurnished,No Deposit,NA,2,NA
2,Independent House,Moosapet,"12,000",1200,Unfurnished,No Deposit,NA,2,NA
2,Independent House,Moosapet,"12,000",1200,Unfurnished,No Deposit,NA,2,NA
