BHK,Type,Location,Price,Sqft,Status,Deposit,Availability,Bathrooms,Facing
1,Independent House,BHEL,"11,300",1000,Unfurnished,No Deposit,NA,2,NA
10,Independent House,West Marredpally,1.5,8000,Semi-Furnished,No Deposit,NA,9,NA
1,Independent House,Bandlaguda Jagir,"15,000",1100,Unfurnished,No Deposit,NA,2,NA
1,Independent House,Balanagar,"5,600",500,Unfurnished,No Deposit,NA,1,NA
3,Independent House,Shaikpet,"37,000",3200,Semi-Furnished,No Deposit,NA,3,NA
2,Independent House,Bachupally,"26,000",1200,Semi-Furnished,No Deposit,NA,2,NA
2,Independent House,Kothapet,"13,000",1350,Semi-Furnished,No Deposit,NA,2,SouthEast facing
1,Independent House,Boduppal,"7,500",150,Unfurnished,No Deposit,NA,2,NA
2,Independent House,Bandlaguda Jagir,"12,000",1100,Semi-Furnished,No Deposit,NA,2,NA
2,Independent House,Aminpur,"10,000",1100,Unfurnished,No Deposit,NA,2,NA
,,Serilingampally,"11,300",700,Unfurnished,No Deposit,NA,1,NA
,,Serilingampally,"11,300",700,Unfurnished,No Deposit,NA,1,NA
3,Independent House,Qutub Shahi Tombs,"18,000",1350,Semi-Furnished,No Deposit,NA,2,East facing
2,Independent House,Tarnaka,"13,000",1100,Semi-Furnished,No Deposit,NA,2,NorthWest facing
,,Boduppal,"6,500",550,Unfurnished,No Deposit,NA,1,NA
,,Shamshabad,"5,000",180,Semi-Furnished,No Deposit,NA,1,NA
2,Independent House,Balanagar,"10,000",1150,Furnished,No Deposit,NA,2,NA
,,Banjara Hills,"10,500",600,Furnished,No Deposit,NA,1,NA
2,Independent House,Rampally,"7,000",850,Semi-Furnished,"21,000",availability immediately,2,NA
2,Independent House,Alwal,"8,500",1200,Unfurnished,No Deposit,NA,1,NA
1,Independent House,Attapur,"6,500",650,Unfurnished,No Deposit,NA,1,NA
1,Independent House,Sanath Nagar,"5,500",500,Unfurnished,No Deposit,NA,1,NA
2,Independent House,Peerzadiguda,"10,000",1200,Furnished,"10,000",availability immediately,2,NA
1,Independent House,Habsiguda,"8,000",600,Unfurnished,No Deposit,NA,1,East facing
1,Independent House,AS Rao Nagar,"7,500",1200,Semi-Furnished,No Deposit,NA,1,NA
2,Independent House,Moosapet,"12,000",1200,Unfurnished,No Deposit,NA,2,NA
2,Independent House,Moosapet,"12,000",1200,Unfurnished,No Deposit,NA,2,NA
2,Independent House,Moosapet,"12,000",1200,Unfurnished,No Deposit,NA,2,NA
2,Independent House,Moosapet,"12,000",1200,Unfurnished,No Deposit,NA,2,NA
3,Independent House,Shaikpet,"37,000",3200,Semi-Furnished,No Deposit,NA,3,NA
1,Independent House,Rasoolpura,"20,000",1500,Semi-Furnished,No Deposit,NA,2,NA
2,Independent House,Manikonda,"22,500",1800,Semi-Furnished,No Deposit,NA,2,NA
2,Independent House,Karkhana,"35,500",1800,Semi-Furnished,No Deposit,NA,3,NA
2,Independent House,Karkhana,"35,500",1800,Semi-Furnished,No Deposit,NA,3,NA
1,Independent House,Begumpet,"18,000",1100,Semi-Furnished,No Deposit,NA,2,NA
